step,molecule_id,molecule_type,measurement_type,measurement_id,value,equilibrium,deviation
45,0,methane,angle,4,108.441225,109.500000,1.058775
45,0,methane,angle,5,111.956031,109.500000,2.456031
45,1,water,bond,0,0.982236,0.960000,0.022236
45,1,water,bond,1,0.985766,0.960000,0.025766
45,1,water,angle,0,104.869632,104.500000,0.369632
45,2,co2,bond,0,1.165690,1.160000,0.005690
45,2,co2,bond,1,1.152589,1.160000,0.007411
45,2,co2,angle,0,178.732971,180.000000,1.267029
45,3,ammonia,bond,0,1.027190,1.010000,0.017190
45,3,ammonia,bond,1,1.000299,1.010000,0.009701
45,3,ammonia,bond,2,0.974531,1.010000,0.035469
45,3,ammonia,angle,0,105.710369,107.000000,1.289631
45,3,ammonia,angle,1,107.152164,107.000000,0.152164
45,3,ammonia,angle,2,105.345206,107.000000,1.654794
45,4,acetylene,bond,0,1.054021,1.060000,0.005979
45,4,acetylene,bond,1,1.194342,1.200000,0.005658
45,4,acetylene,bond,2,1.072557,1.060000,0.012557
45,4,acetylene,angle,0,177.362872,180.000000,2.637128
45,4,acetylene,angle,1,177.052280,180.000000,2.947720
45,5,hcl,bond,0,1.265618,1.270000,0.004382
50,0,methane,bond,0,1.097586,1.090000,0.007586
50,0,methane,bond,1,1.109849,1.090000,0.019849
50,0,methane,bond,2,1.107296,1.090000,0.017296
50,0,methane,bond,3,1.091498,1.090000,0.001498
50,0,methane,angle,0,109.398080,109.500000,0.101920
50,0,methane,angle,1,109.047149,109.500000,0.452851
50,0,methane,angle,2,109.718644,109.500000,0.218644
50,0,methane,angle,3,107.854307,109.500000,1.645693
50,0,methane,angle,4,108.492356,109.500000,1.007644
50,0,methane,angle,5,112.277819,109.500000,2.777819
50,1,water,bond,0,0.985088,0.960000,0.025088
50,1,water,bond,1,0.988071,0.960000,0.028071
50,1,water,angle,0,104.870016,104.500000,0.370016
50,2,co2,bond,0,1.165760,1.160000,0.005760
50,2,co2,bond,1,1.152976,1.160000,0.007024
50,2,co2,angle,0,178.699292,180.000000,1.300708
50,3,ammonia,bond,0,1.030222,1.010000,0.020222
50,3,ammonia,bond,1,0.999328,1.010000,0.010672
50,3,ammonia,bond,2,0.970720,1.010000,0.039280
50,3,ammonia,angle,0,105.682249,107.000000,1.317751
50,3,ammonia,angle,1,107.085227,107.000000,0.085227
50,3,ammonia,angle,2,105.284947,107.000000,1.715053
50,4,acetylene,bond,0,1.053175,1.060000,0.006825
50,4,acetylene,bond,1,1.194471,1.200000,0.005529
50,4,acetylene,bond,2,1.073228,1.060000,0.013228
50,4,acetylene,angle,0,177.245823,180.000000,2.754177
50,4,acetylene,angle,1,176.898881,180.000000,3.101119
50,5,hcl,bond,0,1.264629,1.270000,0.005371
55,0,methane,bond,0,1.099141,1.090000,0.009141
55,0,methane,bond,1,1.111447,1.090000,0.021447
55,0,methane,bond,2,1.110173,1.090000,0.020173
55,0,methane,bond,3,1.090543,1.090000,0.000543
55,0,methane,angle,0,109.245470,109.500000,0.254530
55,0,methane,angle,1,108.940955,109.500000,0.559045
55,0,methane,angle,2,109.772241,109.500000,0.272241
55,0,methane,angle,3,107.673038,109.500000,1.826962
55,0,methane,angle,4,108.542930,109.500000,0.957070
55,0,methane,angle,5,112.598768,109.500000,3.098768
55,1,water,bond,0,0.987972,0.960000,0.027972
55,1,water,bond,1,0.990406,0.960000,0.030406
55,1,water,angle,0,104.870206,104.500000,0.370206
55,2,co2,bond,0,1.165829,1.160000,0.005829
55,2,co2,bond,1,1.153368,1.160000,0.006632
55,2,co2,angle,0,178.663677,180.000000,1.336323
55,3,ammonia,bond,0,1.033244,1.010000,0.023244
55,3,ammonia,bond,1,0.998388,1.010000,0.011612
55,3,ammonia,bond,2,0.966953,1.010000,0.043047
55,3,ammonia,angle,0,105.653525,107.000000,1.346475
55,3,ammonia,angle,1,107.015534,107.000000,0.015534
55,3,ammonia,angle,2,105.224358,107.000000,1.775642
55,4,acetylene,bond,0,1.052311,1.060000,0.007689
55,4,acetylene,bond,1,1.194604,1.200000,0.005396
55,4,acetylene,bond,2,1.073873,1.060000,0.013873
55,4,acetylene,angle,0,177.127652,180.000000,2.872348
55,4,acetylene,angle,1,176.745307,180.000000,3.254693
55,5,hcl,bond,0,1.263616,1.270000,0.006384
60,0,methane,bond,0,1.100731,1.090000,0.010731
60,0,methane,bond,1,1.113081,1.090000,0.023081
60,0,methane,bond,2,1.113095,1.090000,0.023095
60,0,methane,bond,3,1.089623,1.090000,0.000377
60,0,methane,angle,0,109.093117,109.500000,0.406883
60,0,methane,angle,1,108.834261,109.500000,0.665739
60,0,methane,angle,2,109.824799,109.500000,0.324799
60,0,methane,angle,3,107.492117,109.500000,2.007883
60,0,methane,angle,4,108.593106,109.500000,0.906894
60,0,methane,angle,5,112.918563,109.500000,3.418563
60,1,water,bond,0,0.990891,0.960000,0.030891
60,1,water,bond,1,0.992774,0.960000,0.032774
60,1,water,angle,0,104.870179,104.500000,0.370179
60,2,co2,bond,0,1.165897,1.160000,0.005897
60,2,co2,bond,1,1.153765,1.160000,0.006235
60,2,co2,angle,0,178.626266,180.000000,1.373734
60,3,ammonia,bond,0,1.036259,1.010000,0.026259
60,3,ammonia,bond,1,0.997482,1.010000,0.012518
60,3,ammonia,bond,2,0.963228,1.010000,0.046772
60,3,ammonia,angle,0,105.624427,107.000000,1.375573
60,3,ammonia,angle,1,106.942980,107.000000,0.057020
60,3,ammonia,angle,2,105.163194,107.000000,1.836806
60,4,acetylene,bond,0,1.051427,1.060000,0.008573
60,4,acetylene,bond,1,1.194741,1.200000,0.005259
60,4,acetylene,bond,2,1.074491,1.060000,0.014491
60,4,acetylene,angle,0,177.008528,180.000000,2.991472
60,4,acetylene,angle,1,176.591516,180.000000,3.408484
60,5,hcl,bond,0,1.262580,1.270000,0.007420
65,0,methane,bond,0,1.102358,1.090000,0.012358
65,0,methane,bond,1,1.114751,1.090000,0.024751
65,0,methane,bond,2,1.116062,1.090000,0.026062
65,0,methane,bond,3,1.088737,1.090000,0.001263
65,0,methane,angle,0,108.941097,109.500000,0.558903
65,0,methane,angle,1,108.727104,109.500000,0.772896
65,0,methane,angle,2,109.876428,109.500000,0.376428
65,0,methane,angle,3,107.311336,109.500000,2.188664
65,0,methane,angle,4,108.642789,109.500000,0.857211
65,0,methane,angle,5,113.237320,109.500000,3.737320
65,1,water,bond,0,0.993838,0.960000,0.033838
65,1,water,bond,1,0.995174,0.960000,0.035174
65,1,water,angle,0,104.869805,104.500000,0.369805
65,2,co2,bond,0,1.165966,1.160000,0.005966
65,2,co2,bond,1,1.154167,1.160000,0.005833
65,2,co2,angle,0,178.587107,180.000000,1.412893
65,3,ammonia,bond,0,1.039264,1.010000,0.029264
65,3,ammonia,bond,1,0.996608,1.010000,0.013392
65,3,ammonia,bond,2,0.959545,1.010000,0.050455
65,3,ammonia,angle,0,105.594794,107.000000,1.405206
65,3,ammonia,angle,1,106.867629,107.000000,0.132371
65,3,ammonia,angle,2,105.101400,107.000000,1.898600
65,4,acetylene,bond,0,1.050527,1.060000,0.009473
65,4,acetylene,bond,1,1.194884,1.200000,0.005116
65,4,acetylene,bond,2,1.075080,1.060000,0.015080
65,4,acetylene,angle,0,176.888457,180.000000,3.111543
65,4,acetylene,angle,1,176.437337,180.000000,3.562663
65,5,hcl,bond,0,1.261520,1.270000,0.008480
70,0,methane,bond,0,1.104021,1.090000,0.014021
70,0,methane,bond,1,1.116455,1.090000,0.026455
