step,atom_id,type,fx_lj,fy_lj,fz_lj
115,8,O,-0.000063,-0.000003,0.000000
115,9,C,-0.000007,-0.000000,0.000002
115,10,O,0.000075,-0.000000,-0.000002
115,11,N,0.000138,0.000130,0.000185
115,12,H,-0.044389,-0.002559,-0.045434
115,13,H,-0.000056,0.000093,-0.000047
115,14,H,-0.000124,-0.000225,-0.000122
115,15,H,0.044370,0.002564,0.045417
115,16,C,-0.000007,-0.000005,-0.000000
115,17,C,0.000031,0.000004,0.000002
115,18,H,-0.001168,-0.000059,-0.000144
115,19,H,0.001192,0.000057,0.000144
115,20,Cl,0.000013,0.000000,-0.000001
120,0,C,0.000003,0.000011,-0.000012
120,1,H,0.000014,0.000013,0.000013
120,2,H,0.000011,-0.000011,-0.000012
120,3,H,-0.000008,0.000010,-0.000010
120,4,H,-0.000020,-0.000023,0.000022
120,5,O,0.000003,-0.000058,-0.000001
120,6,H,0.000031,0.000032,-0.000001
120,7,H,-0.000039,0.000030,0.000001
120,8,O,-0.000063,-0.000003,0.000000
120,9,C,-0.000006,-0.000000,0.000003
120,10,O,0.000075,0.000000,-0.000002
120,11,N,0.000145,0.000140,0.000191
120,12,H,-0.045372,-0.002729,-0.046681
120,13,H,-0.000056,0.000094,-0.000047
120,14,H,-0.000129,-0.000236,-0.000128
120,15,H,0.045350,0.002733,0.046665
120,16,C,-0.000006,-0.000005,0.000000
120,17,C,0.000031,0.000004,0.000002
120,18,H,-0.001141,-0.000060,-0.000147
120,19,H,0.001165,0.000058,0.000147
120,20,Cl,0.000013,0.000000,-0.000001
125,0,C,0.000003,0.000011,-0.000013
125,1,H,0.000014,0.000013,0.000013
125,2,H,0.000011,-0.000011,-0.000012
125,3,H,-0.000008,0.000010,-0.000010
125,4,H,-0.000020,-0.000023,0.000022
125,5,O,0.000003,-0.000056,-0.000001
125,6,H,0.000030,0.000031,-0.000001
125,7,H,-0.000038,0.000029,0.000001
125,8,O,-0.000063,-0.000003,0.000000
125,9,C,-0.000006,-0.000000,0.000003
125,10,O,0.000075,0.000000,-0.000002
125,11,N,0.000152,0.000150,0.000198
125,12,H,-0.046300,-0.002900,-0.047887
125,13,H,-0.000057,0.000095,-0.000048
125,14,H,-0.000135,-0.000247,-0.000135
125,15,H,0.046276,0.002905,0.047871
125,16,C,-0.000005,-0.000005,0.000000
125,17,C,0.000031,0.000004,0.000002
125,18,H,-0.001112,-0.000061,-0.000150
125,19,H,0.001137,0.000059,0.000149
125,20,Cl,0.000014,0.000000,-0.000001
130,0,C,0.000004,0.000012,-0.000013
130,1,H,0.000013,0.000012,0.000012
130,2,H,0.000011,-0.000010,-0.000011
130,3,H,-0.000008,0.000009,-0.000009
130,4,H,-0.000020,-0.000023,0.000022
130,5,O,0.000003,-0.000054,-0.000000
130,6,H,0.000028,0.000030,-0.000001
130,7,H,-0.000037,0.000028,0.000001
130,8,O,-0.000063,-0.000003,0.000000
130,9,C,-0.000005,-0.000000,0.000003
130,10,O,0.000074,0.000000,-0.000003
130,11,N,0.000159,0.000161,0.000204
130,12,H,-0.047171,-0.003074,-0.049045
130,13,H,-0.000057,0.000095,-0.000048
130,14,H,-0.000140,-0.000258,-0.000142
130,15,H,0.047144,0.003080,0.049030
130,16,C,-0.000004,-0.000005,0.000000
130,17,C,0.000031,0.000004,0.000002
130,18,H,-0.001083,-0.000062,-0.000152
130,19,H,0.001107,0.000060,0.000151
130,20,Cl,0.000014,0.000000,-0.000001
135,0,C,0.000004,0.000012,-0.000014
135,1,H,0.000013,0.000012,0.000012
135,2,H,0.000011,-0.000010,-0.000011
135,3,H,-0.000007,0.000009,-0.000009
135,4,H,-0.000020,-0.000023,0.000022
135,5,O,0.000003,-0.000052,-0.000000
135,6,H,0.000027,0.000029,-0.000001
135,7,H,-0.000035,0.000027,0.000001
135,8,O,-0.000063,-0.000003,0.000000
135,9,C,-0.000005,-0.000000,0.000003
135,10,O,0.000074,0.000000,-0.000003
135,11,N,0.000166,0.000172,0.000212
135,12,H,-0.047981,-0.003250,-0.050153
135,13,H,-0.000057,0.000095,-0.000048
135,14,H,-0.000146,-0.000269,-0.000149
135,15,H,0.047953,0.003256,0.050138
135,16,C,-0.000002,-0.000006,0.000000
135,17,C,0.000031,0.000004,0.000002
135,18,H,-0.001053,-0.000063,-0.000154
135,19,H,0.001077,0.000061,0.000153
135,20,Cl,0.000014,0.000000,-0.000001
140,0,C,0.000004,0.000013,-0.000014
140,1,H,0.000013,0.000012,0.000012
140,2,H,0.000010,-0.000010,-0.000011
140,3,H,-0.000007,0.000009,-0.000009
140,4,H,-0.000020,-0.000023,0.000022
140,5,O,0.000003,-0.000050,-0.000000
140,6,H,0.000025,0.000028,-0.000001
140,7,H,-0.000034,0.000026,0.000001
140,8,O,-0.000063,-0.000003,0.000000
140,9,C,-0.000005,-0.000000,0.000003
140,10,O,0.000073,0.000000,-0.000003
140,11,N,0.000173,0.000184,0.000219
140,12,H,-0.048725,-0.003427,-0.051201
140,13,H,-0.000058,0.000096,-0.000049
140,14,H,-0.000151,-0.000281,-0.000157
140,15,H,0.048694,0.003432,0.051187
140,16,C,-0.000001,-0.000006,0.000000
140,17,C,0.000031,0.000004,0.000002
140,18,H,-0.001023,-0.000064,-0.000155
140,19,H,0.001046,0.000062,0.000154
140,20,Cl,0.000014,0.000000,-0.000001
145,0,C,0.000004,0.000013,-0.000014
145,1,H,0.000012,0.000011,0.000011
145,2,H,0.000010,-0.000009,-0.000011
145,3,H,-0.000007,0.000008,-0.000008
145,4,H,-0.000020,-0.000023,0.000022
