step,atom_id,type,x,y,z,vx,vy,vz,fx,fy,fz,mass
40,15,H,11.345282,13.017051,9.989174,820.852502,1595.466948,-61.700837,0.000000,0.000000,0.000000,1.000000
40,16,C,12.399782,12.990443,9.993870,-38.026821,-191.543896,420.305955,-0.000000,-0.000000,-0.000000,12.000000
40,17,C,13.593715,13.012004,10.008663,74.197793,318.495434,348.550411,0.000000,0.000000,0.000000,12.000000
40,18,H,14.665182,12.990915,9.988814,721.008502,-1903.662181,-984.208072,-0.000000,-0.000000,-0.000000,1.000000
40,19,H,15.357772,12.999944,10.015820,441.918839,-331.522929,2678.317731,0.000000,0.000000,0.000000,1.000000
40,20,Cl,16.624266,12.996858,10.001157,-540.585636,-99.216093,-158.906164,0.000000,-0.000000,-0.000000,35.500000
45,0,C,10.003953,10.006969,9.995717,-566.794092,-81.383203,185.532447,0.000000,0.000000,-0.000000,12.000000
45,1,H,10.641433,10.632548,10.631031,2115.405421,337.156495,-326.915907,0.000000,0.000000,0.000000,1.000000
45,2,H,10.637817,9.371154,9.345908,893.851201,1057.797958,-2137.998946,0.000000,-0.000000,-0.000000,1.000000
45,3,H,9.391276,10.656542,9.345706,1334.381036,3528.344634,-2779.511666,-0.000000,0.000000,-0.000000,1.000000
45,4,H,9.387632,9.356366,10.620532,1679.599348,-652.288846,39.305925,-0.000000,-0.000000,0.000000,1.000000
45,5,O,13.004228,9.995177,9.994920,101.116576,-26.883626,-246.296588,-0.000000,-0.000000,-0.000000,16.000000
45,6,H,13.780471,10.597028,9.997889,2133.465401,1978.425644,-1113.170809,0.000000,0.000000,0.000000,1.000000
45,7,H,12.220558,10.593003,10.009129,-1917.481902,1085.741372,179.019596,-0.000000,0.000000,0.000000,1.000000
45,8,O,14.836768,9.997278,10.009945,48.849343,384.491655,198.437040,-0.000000,-0.000000,0.000000,16.000000
45,9,C,16.002441,10.003579,10.009380,122.293552,-249.381364,292.783749,-0.000000,0.000000,0.000000,12.000000
