step,molecule_id,molecule_type,measurement_type,measurement_id,value,equilibrium,deviation
45,0,methane,bond,0,1.069605,1.090000,0.020395
45,0,methane,bond,1,1.114490,1.090000,0.024490
45,0,methane,bond,2,1.094290,1.090000,0.004290
45,0,methane,bond,3,1.078964,1.090000,0.011036
45,0,methane,angle,0,107.678545,109.500000,1.821455
45,0,methane,angle,1,110.841039,109.500000,1.341039
45,0,methane,angle,2,110.547600,109.500000,1.047600
45,0,methane,angle,3,110.222849,109.500000,0.722849
45,0,methane,angle,4,109.694356,109.500000,0.194356
45,0,methane,angle,5,107.862731,109.500000,1.637269
45,1,water,bond,0,0.943158,0.960000,0.016842
45,1,water,bond,1,0.980815,0.960000,0.020815
45,1,water,angle,0,104.989270,104.500000,0.489270
45,2,co2,bond,0,1.162064,1.160000,0.002064
45,2,co2,bond,1,1.154473,1.160000,0.005527
45,2,co2,angle,0,179.474458,180.000000,0.525542
45,3,ammonia,bond,0,0.993346,1.010000,0.016654
45,3,ammonia,bond,1,1.027608,1.010000,0.017608
45,3,ammonia,bond,2,1.017006,1.010000,0.007006
45,3,ammonia,angle,0,108.335161,107.000000,1.335161
45,3,ammonia,angle,1,106.817913,107.000000,0.182087
45,3,ammonia,angle,2,106.562210,107.000000,0.437790
45,4,acetylene,bond,0,1.060052,1.060000,0.000052
45,4,acetylene,bond,1,1.194493,1.200000,0.005507
45,4,acetylene,bond,2,1.075461,1.060000,0.015461
45,4,acetylene,angle,0,179.028013,180.000000,0.971987
45,4,acetylene,angle,1,178.887209,180.000000,1.112791
45,5,hcl,bond,0,1.233177,1.270000,0.036823
50,0,methane,bond,0,1.067896,1.090000,0.022104
50,0,methane,bond,1,1.116265,1.090000,0.026265
50,0,methane,bond,2,1.094416,1.090000,0.004416
50,0,methane,bond,3,1.079889,1.090000,0.010111
50,0,methane,angle,0,107.437949,109.500000,2.062051
50,0,methane,angle,1,110.995732,109.500000,1.495732
50,0,methane,angle,2,110.576680,109.500000,1.076680
50,0,methane,angle,3,110.429129,109.500000,0.929129
50,0,methane,angle,4,109.724489,109.500000,0.224489
50,0,methane,angle,5,107.688842,109.500000,1.811158
50,1,water,bond,0,0.941998,0.960000,0.018002
50,1,water,bond,1,0.981563,0.960000,0.021563
50,1,water,angle,0,105.050950,104.500000,0.550950
50,2,co2,bond,0,1.162106,1.160000,0.002106
50,2,co2,bond,1,1.154815,1.160000,0.005185
50,2,co2,angle,0,179.449567,180.000000,0.550433
50,3,ammonia,bond,0,0.993145,1.010000,0.016855
50,3,ammonia,bond,1,1.030968,1.010000,0.020968
50,3,ammonia,bond,2,1.017054,1.010000,0.007054
50,3,ammonia,angle,0,108.405537,107.000000,1.405537
50,3,ammonia,angle,1,106.812580,107.000000,0.187420
50,3,ammonia,angle,2,106.508047,107.000000,0.491953
