step,atom_id,type,fx_lj,fy_lj,fz_lj
80,5,O,-0.000061,-0.000143,0.000007
80,6,H,0.000120,0.000098,-0.000006
80,7,H,-0.000063,0.000047,-0.000001
80,8,O,-0.000068,-0.000002,0.000001
80,9,C,-0.000004,0.000001,0.000001
80,10,O,0.000077,-0.000001,-0.000001
80,11,N,-0.000044,0.000025,0.000093
80,12,H,-0.014550,-0.000374,-0.014586
80,13,H,-0.000025,0.000043,-0.000019
80,14,H,-0.000040,-0.000064,-0.000030
80,15,H,0.014608,0.000370,0.014541
80,16,C,-0.000023,-0.000000,0.000001
80,17,C,0.000033,0.000001,-0.000001
80,18,H,-0.000382,-0.000013,-0.000017
80,19,H,0.000404,0.000013,0.000017
80,20,Cl,0.000019,-0.000000,-0.000000
85,0,C,-0.000004,-0.000014,-0.000018
85,1,H,0.000030,0.000029,0.000027
85,2,H,0.000013,-0.000012,-0.000011
85,3,H,-0.000019,0.000016,-0.000018
85,4,H,-0.000019,-0.000020,0.000021
85,5,O,-0.000063,-0.000143,0.000008
85,6,H,0.000121,0.000099,-0.000006
85,7,H,-0.000062,0.000047,-0.000001
85,8,O,-0.000068,-0.000002,0.000001
85,9,C,-0.000004,0.000001,0.000001
85,10,O,0.000076,-0.000001,-0.000001
85,11,N,-0.000046,0.000027,0.000092
85,12,H,-0.013763,-0.000360,-0.013890
85,13,H,-0.000024,0.000041,-0.000018
85,14,H,-0.000040,-0.000064,-0.000029
85,15,H,0.013821,0.000355,0.013844
85,16,C,-0.000023,-0.000000,0.000001
85,17,C,0.000033,0.000001,-0.000001
85,18,H,-0.000351,-0.000013,-0.000016
85,19,H,0.000372,0.000013,0.000016
85,20,Cl,0.000020,-0.000000,-0.000000
90,0,C,-0.000004,-0.000015,-0.000019
90,1,H,0.000030,0.000030,0.000027
90,2,H,0.000012,-0.000012,-0.000011
90,3,H,-0.000019,0.000016,-0.000017
90,4,H,-0.000019,-0.000019,0.000020
90,5,O,-0.000065,-0.000143,0.000008
90,6,H,0.000123,0.000100,-0.000007
90,7,H,-0.000061,0.000046,-0.000002
90,8,O,-0.000068,-0.000002,0.000001
90,9,C,-0.000004,0.000001,0.000001
90,10,O,0.000076,-0.000001,-0.000001
90,11,N,-0.000047,0.000028,0.000092
90,12,H,-0.012983,-0.000345,-0.013191
90,13,H,-0.000023,0.000039,-0.000017
90,14,H,-0.000040,-0.000063,-0.000029
90,15,H,0.013041,0.000340,0.013145
90,16,C,-0.000023,-0.000000,0.000001
90,17,C,0.000033,0.000001,-0.000001
90,18,H,-0.000321,-0.000013,-0.000015
90,19,H,0.000342,0.000012,0.000016
90,20,Cl,0.000021,-0.000000,-0.000000
95,0,C,-0.000005,-0.000016,-0.000019
95,1,H,0.000031,0.000030,0.000027
95,2,H,0.000012,-0.000011,-0.000011
95,3,H,-0.000019,0.000016,-0.000017
95,4,H,-0.000019,-0.000019,0.000020
95,5,O,-0.000067,-0.000143,0.000009
95,6,H,0.000123,0.000101,-0.000007
95,7,H,-0.000060,0.000045,-0.000002
95,8,O,-0.000068,-0.000002,0.000001
95,9,C,-0.000003,0.000001,0.000001
95,10,O,0.000076,-0.000001,-0.000002
95,11,N,-0.000049,0.000030,0.000091
95,12,H,-0.012216,-0.000329,-0.012496
95,13,H,-0.000022,0.000037,-0.000016
95,14,H,-0.000040,-0.000062,-0.000029
95,15,H,0.012275,0.000324,0.012450
95,16,C,-0.000023,-0.000000,0.000001
95,17,C,0.000033,0.000001,-0.000001
95,18,H,-0.000293,-0.000012,-0.000015
95,19,H,0.000313,0.000012,0.000015
95,20,Cl,0.000021,-0.000000,-0.000000
100,0,C,-0.000006,-0.000016,-0.000020
100,1,H,0.000031,0.000031,0.000027
100,2,H,0.000012,-0.000011,-0.000010
100,3,H,-0.000019,0.000015,-0.000017
100,4,H,-0.000018,-0.000018,0.000020
100,5,O,-0.000069,-0.000143,0.000009
100,6,H,0.000124,0.000101,-0.000008
100,7,H,-0.000059,0.000044,-0.000002
100,8,O,-0.000068,-0.000002,0.000001
100,9,C,-0.000003,0.000001,0.000001
100,10,O,0.000075,-0.000001,-0.000002
100,11,N,-0.000050,0.000031,0.000090
100,12,H,-0.011465,-0.000314,-0.011808
100,13,H,-0.000021,0.000036,-0.000015
100,14,H,-0.000040,-0.000062,-0.000028
100,15,H,0.011524,0.000308,0.011761
100,16,C,-0.000023,-0.000000,0.000001
100,17,C,0.000033,0.000001,-0.000001
100,18,H,-0.000266,-0.000012,-0.000014
100,19,H,0.000286,0.000011,0.000014
100,20,Cl,0.000022,-0.000000,-0.000001
105,0,C,-0.000006,-0.000017,-0.000020
105,1,H,0.000032,0.000031,0.000028
105,2,H,0.000012,-0.000011,-0.000010
105,3,H,-0.000019,0.000015,-0.000017
105,4,H,-0.000018,-0.000018,0.000019
105,5,O,-0.000071,-0.000143,0.000010
105,6,H,0.000125,0.000102,-0.000008
105,7,H,-0.000058,0.000043,-0.000002
105,8,O,-0.000068,-0.000002,0.000001
