step,atom_id,type,x,y,z
180,3,H,9.30502,10.6531,9.34001
180,4,H,9.36671,9.38557,10.646
180,5,O,15.0145,9.99746,9.98812
180,6,H,15.8208,10.6401,9.94668
180,7,H,14.1662,10.583,9.96778
185,0,C,10.0175,10.0162,10.0061
185,1,H,10.6729,10.6132,10.6989
185,2,H,10.6724,9.32879,9.40123
185,3,H,9.3026,10.6542,9.33872
185,4,H,9.36577,9.38506,10.6471
185,5,O,15.0149,9.99705,9.98779
185,6,H,15.8236,10.6423,9.94497
185,7,H,14.1632,10.5837,9.96709
190,0,C,10.0182,10.0167,10.006
190,1,H,10.6747,10.6133,10.7014
190,2,H,10.6744,9.32695,9.40131
190,3,H,9.30015,10.6552,9.33738
190,4,H,9.3648,9.38452,10.6482
190,5,O,15.0153,9.99663,9.98747
190,6,H,15.8264,10.6444,9.94326
190,7,H,14.1602,10.5844,9.96639
195,0,C,10.0188,10.0173,10.0058
195,1,H,10.6766,10.6134,10.7039
195,2,H,10.6765,9.32508,9.40135
195,3,H,9.29766,10.6564,9.33601
195,4,H,9.36379,9.38394,10.6493
195,5,O,15.0157,9.99621,9.98714
195,6,H,15.8293,10.6466,9.94155
195,7,H,14.1572,10.5852,9.96569
200,0,C,10.0195,10.0178,10.0057
200,1,H,10.6785,10.6135,10.7064
200,2,H,10.6787,9.32317,9.40136
200,3,H,9.29514,10.6575,9.33461
200,4,H,9.36274,9.38333,10.6505
200,5,O,15.0161,9.99579,9.98681
200,6,H,15.8322,10.6489,9.93983
200,7,H,14.1541,10.586,9.96499
205,0,C,10.0201,10.0184,10.0056
205,1,H,10.6805,10.6137,10.709
205,2,H,10.6808,9.32122,9.40135
205,3,H,9.29257,10.6587,9.33317
205,4,H,9.36166,9.38269,10.6517
205,5,O,15.0165,9.99536,9.98648
205,6,H,15.8351,10.6512,9.93811
205,7,H,14.1509,10.5869,9.96429
210,0,C,10.0208,10.019,10.0055
210,1,H,10.6824,10.6139,10.7117
210,2,H,10.683,9.31923,9.40129
210,3,H,9.28998,10.6599,9.3317
210,4,H,9.36054,9.38201,10.653
210,5,O,15.0169,9.99493,9.98616
210,6,H,15.8382,10.6535,9.93639
210,7,H,14.1477,10.5878,9.96358
215,0,C,10.0214,10.0196,10.0054
215,1,H,10.6845,10.6142,10.7143
215,2,H,10.6852,9.31722,9.40121
215,3,H,9.28734,10.6611,9.3302
215,4,H,9.35938,9.3813,10.6543
215,5,O,15.0173,9.9945,9.98583
215,6,H,15.8412,10.6558,9.93466
215,7,H,14.1444,10.5887,9.96288
220,0,C,10.0221,10.0201,10.0052
220,1,H,10.6865,10.6145,10.717
220,2,H,10.6875,9.31517,9.4011
220,3,H,9.28467,10.6624,9.32866
220,4,H,9.35819,9.38055,10.6556
220,5,O,15.0177,9.99406,9.9855
220,6,H,15.8443,10.6582,9.93293
220,7,H,14.1411,10.5897,9.96217
225,0,C,10.0227,10.0207,10.0051
225,1,H,10.6886,10.6148,10.7198
225,2,H,10.6897,9.31308,9.40096
225,3,H,9.28196,10.6636,9.32709
225,4,H,9.35696,9.37976,10.6569
225,5,O,15.0181,9.99362,9.98517
225,6,H,15.8475,10.6607,9.9312
225,7,H,14.1378,10.5907,9.96146
230,0,C,10.0234,10.0213,10.005
230,1,H,10.6907,10.6151,10.7225
230,2,H,10.6921,9.31096,9.40078
230,3,H,9.27921,10.665,9.32549
230,4,H,9.35569,9.37894,10.6583
230,5,O,15.0185,9.99318,9.98484
230,6,H,15.8507,10.6631,9.92947
230,7,H,14.1343,10.5917,9.96075
235,0,C,10.024,10.0219,10.0048
235,1,H,10.6929,10.6155,10.7254
235,2,H,10.6944,9.3088,9.40057
235,3,H,9.27642,10.6663,9.32385
235,4,H,9.35439,9.37809,10.6597
235,5,O,15.0189,9.99273,9.98452
235,6,H,15.8539,10.6657,9.92773
235,7,H,14.1309,10.5928,9.96004
240,0,C,10.0247,10.0225,10.0047
240,1,H,10.6951,10.6159,10.7282
240,2,H,10.6968,9.3066,9.40033
240,3,H,9.2736,10.6677,9.32218
240,4,H,9.35306,9.37721,10.6612
240,5,O,15.0193,9.99228,9.98419
240,6,H,15.8572,10.6682,9.92599
240,7,H,14.1274,10.5939,9.95933
245,0,C,10.0253,10.0231,10.0045
245,1,H,10.6973,10.6163,10.7311
245,2,H,10.6993,9.30437,9.40005
245,3,H,9.27075,10.6692,9.32048
245,4,H,9.35169,9.37629,10.6627
245,5,O,15.0197,9.99182,9.98386
245,6,H,15.8605,10.6708,9.92424
245,7,H,14.1238,10.595,9.95861
250,0,C,10.0259,10.0237,10.0044
250,1,H,10.6996,10.6168,10.734
250,2,H,10.7017,9.3021,9.39975
250,3,H,9.26785,10.6706,9.31874
250,4,H,9.35028,9.37534,10.6642
250,5,O,15.0201,9.99137,9.98353
250,6,H,15.8639,10.6734,9.9225
250,7,H,14.1202,10.5962,9.9579
